file,obs_id,instrument,filter,x,y,ra,dec,flux,flux_err,peak,snr,concentration,asymmetry,edge_density,eccentricity,has_nan,flags,anomaly_score,is_anomaly,cutout_path,key_features
/Users/rajeevkumar/Downloads/jwst/jwst_lab/data/products/test_jwst_image_1_i2d.fits,test_obs_1,NIRCAM,F115W,865.375357614007,797.7495168275075,148.86627336549736,69.70833930975732,-40.55315399169922,,671.7002639770508,66.62958437871703,-2.6881788113020826,0.8059816614767918,34.575030649788616,0.9905846091814715,False,high_ellipticity,0.6678884001527939,True,/Users/rajeevkumar/Downloads/jwst/jwst_lab/outputs/figures/cutouts/test_jwst_image_1_i2d_anomaly_730.png,"SNR=66.6, ecc=0.99, asym=0.81"
/Users/rajeevkumar/Downloads/jwst/jwst_lab/data/products/test_jwst_image_1_i2d.fits,test_obs_1,NIRCAM,F115W,370.71248533913086,404.52392544057227,149.0088352061599,69.6690417574802,-116.10845184326172,,764.048469543457,75.79010267087628,0.0,0.8381361217136698,22.854729564326583,5.524382689768287,False,high_ellipticity,0.6611227469670374,True,/Users/rajeevkumar/Downloads/jwst/jwst_lab/outputs/figures/cutouts/test_jwst_image_1_i2d_anomaly_353.png,"SNR=75.8, ecc=5.52, asym=0.84"
/Users/rajeevkumar/Downloads/jwst/jwst_lab/data/products/test_jwst_image_1_i2d.fits,test_obs_1,NIRCAM,F115W,388.6970562588126,513.5365401919307,149.00367701877317,69.6799441290389,-33.31371307373047,,4262.7024002075195,422.8405205237352,0.0,0.8793939122849124,7.964100315312671,1.0713952414921382,False,high_ellipticity,0.6554481135909386,True,/Users/rajeevkumar/Downloads/jwst/jwst_lab/outputs/figures/cutouts/test_jwst_image_1_i2d_anomaly_457.png,"SNR=422.8, ecc=1.07, asym=0.88"
/Users/rajeevkumar/Downloads/jwst/jwst_lab/data/products/test_jwst_image_1_i2d.fits,test_obs_1,NIRCAM,F115W,824.5284568608781,786.0541461021049,148.8780565959501,69.70717621340025,13.059288024902344,,671.7002639770508,66.62958437871703,-4.823533882844046,0.8628608858204815,12.740989839708483,1.3254268115940764,False,high_ellipticity,0.6507956694977615,True,/Users/rajeevkumar/Downloads/jwst/jwst_lab/outputs/figures/cutouts/test_jwst_image_1_i2d_anomaly_717.png,"SNR=66.6, ecc=1.33, asym=0.86"
/Users/rajeevkumar/Downloads/jwst/jwst_lab/data/products/test_jwst_image_1_i2d.fits,test_obs_1,NIRCAM,F115W,384.1486274538006,337.8701668806575,149.00495658987157,69.6623772287399,38.64350891113281,,844.8146438598633,83.80173660220522,0.0,0.8727084315262592,40.15956746994998,1.0129306874800286,False,high_ellipticity,0.6485490623045079,True,/Users/rajeevkumar/Downloads/jwst/jwst_lab/outputs/figures/cutouts/test_jwst_image_1_i2d_anomaly_297.png,"SNR=83.8, ecc=1.01, asym=0.87"
/Users/rajeevkumar/Downloads/jwst/jwst_lab/data/products/test_jwst_image_1_i2d.fits,test_obs_1,NIRCAM,F115W,342.24347347372526,466.4705754513209,149.01704326116234,69.67523434798791,64709.939277648926,,4262.7024002075195,422.8405205237352,0.9741748381605626,0.5930754689887481,0.11372732214846082,0.0,False,none,0.6444113428424362,True,/Users/rajeevkumar/Downloads/jwst/jwst_lab/outputs/figures/cutouts/test_jwst_image_1_i2d_anomaly_413.png,"SNR=422.8, ecc=0.00, asym=0.59"
/Users/rajeevkumar/Downloads/jwst/jwst_lab/data/products/test_jwst_image_1_i2d.fits,test_obs_1,NIRCAM,F115W,521.4440448889076,734.0027923015841,148.96544734748568,69.70199425236852,41.47332000732422,,279.4142837524414,27.716614975959203,1.4018717773640963,0.7543658430476823,2.0919901883441177,9.312810058884144,False,high_ellipticity,0.644359970066766,True,/Users/rajeevkumar/Downloads/jwst/jwst_lab/outputs/figures/cutouts/test_jwst_image_1_i2d_anomaly_671.png,"SNR=27.7, ecc=9.31, asym=0.75"
/Users/rajeevkumar/Downloads/jwst/jwst_lab/data/products/test_jwst_image_1_i2d.fits,test_obs_1,NIRCAM,F115W,369.5772065280018,510.68394472597174,149.0091823251075,69.67965768128161,63.5665283203125,,4262.7024002075195,422.8405205237352,0.8378182804294289,0.8835195423202039,0.46325828089858545,0.9702419357610421,False,high_ellipticity,0.6421308927160558,True,/Users/rajeevkumar/Downloads/jwst/jwst_lab/outputs/figures/cutouts/test_jwst_image_1_i2d_anomaly_455.png,"SNR=422.8, ecc=0.97, asym=0.88"
/Users/rajeevkumar/Downloads/jwst/jwst_lab/data/products/test_jwst_image_1_i2d.fits,test_obs_1,NIRCAM,F115W,689.5451324605524,582.7415105202443,148.91702640731296,69.6868606358249,8.0517578125,,783.500617980957,77.71966654805829,0.0,0.8236669137715175,17.478088132894722,6.4440088371404745,False,high_ellipticity,0.6404855007921767,True,/Users/rajeevkumar/Downloads/jwst/jwst_lab/outputs/figures/cutouts/test_jwst_image_1_i2d_anomaly_526.png,"SNR=77.7, ecc=6.44, asym=0.82"
/Users/rajeevkumar/Downloads/jwst/jwst_lab/data/products/test_jwst_image_1_i2d.fits,test_obs_1,NIRCAM,F115W,305.4822414341828,506.84753022952475,149.02763812869082,69.67926879974982,-70.54336547851562,,4262.7024002075195,422.8405205237352,0.0,0.883677969236521,2.6367354979327224,0.9401894603197861,False,high_ellipticity,0.6387553350407841,True,/Users/rajeevkumar/Downloads/jwst/jwst_lab/outputs/figures/cutouts/test_jwst_image_1_i2d_anomaly_448.png,"SNR=422.8, ecc=0.94, asym=0.88"
/Users/rajeevkumar/Downloads/jwst/jwst_lab/data/products/test_jwst_image_1_i2d.fits,test_obs_1,NIRCAM,F115W,631.6962417449082,690.1278020275685,148.933672703834,69.69760334339482,-17.123931884765625,,122.99481964111328,12.200521799560633,0.0,0.739040184610818,4.565174405536954,12.335404650177322,False,high_ellipticity,0.6347062772314513,True,/Users/rajeevkumar/Downloads/jwst/jwst_lab/outputs/figures/cutouts/test_jwst_image_1_i2d_anomaly_626.png,"SNR=12.2, ecc=12.34, asym=0.74"
/Users/rajeevkumar/Downloads/jwst/jwst_lab/data/products/test_jwst_image_1_i2d.fits,test_obs_1,NIRCAM,F115W,847.8387453096905,305.1370967728455,148.87155534864,69.65908100254255,9801.351020812988,,473.20325469970703,46.939591776570865,0.5340887500127385,0.4912648200836089,-0.22277034288383574,4.880378507741773,False,high_ellipticity,0.6245375586609928,True,/Users/rajeevkumar/Downloads/jwst/jwst_lab/outputs/figures/cutouts/test_jwst_image_1_i2d_anomaly_270.png,"SNR=46.9, ecc=4.88, asym=0.49"
